"region","chrom","start","end","n_bins","observed","expected","resid","contrib","contrib_share","p_val","padj","class"
35,"chr1",34000001,35000000,500,287,274.775621216748,0.737458692805358,0.543845323594187,3.09802886217711e-05,0.47625358063939,0.671294602818435,"all"
36,"chr1",35000001,36000000,500,194,203.387971567674,-0.658277684926892,0.433329510472708,2.46847269257622e-05,0.53785407229655,0.723662178430726,"all"
37,"chr1",36000001,37000000,500,166,192.352214191737,-1.90006525687389,3.61024798037923,0.00020565870400271,0.0579621414418906,0.159021492357799,"all"
38,"chr1",37000001,38000000,500,214,232.476038163946,-1.21176876214391,1.4683835329078,8.36468453131067e-05,0.236572147055388,0.426037905532537,"all"
39,"chr1",38000001,39000000,500,212,221.844573431846,-0.660955921612822,0.436862730315055,2.48859977020864e-05,0.534866922894287,0.721969617673221,"all"
40,"chr1",39000001,40000000,500,195,203.840695718899,-0.619214327693052,0.383426383620359,2.18419824799751e-05,0.564287169563716,0.744848671795199,"all"
41,"chr1",40000001,41000000,500,183,204.859088185904,-1.52722992253052,2.33243123627256,0.000132867544787565,0.131667208312089,0.286628615209385,"all"
42,"chr1",41000001,42000000,500,200,197.891261568266,0.149902682481007,0.0224708142150016,1.28005570654941e-06,0.899697248638805,0.964896565429847,"all"
43,"chr1",42000001,43000000,500,197,217.844971238784,-1.4123018587608,1.99459654025922,0.000113622704508766,0.164747757264191,0.332393962052383,"all"
44,"chr1",43000001,44000000,500,201,210.79090498277,-0.674367918762357,0.454772089855873,2.59062089708691e-05,0.52663793129389,0.716257565948568,"all"
45,"chr1",44000001,45000000,500,199,199.356482171155,-0.0252477472243251,0.000637448739903417,3.63124312870404e-08,1,1,"all"
46,"chr1",45000001,46000000,500,170,191.082440325341,-1.52514273454191,2.32606036072598,0.000132504626224797,0.132404789421881,0.287797218553854,"all"
47,"chr1",46000001,47000000,500,187,187.97084853597,-0.0708118970163511,0.00501432475905431,2.85642298534707e-07,0.982297948196732,1,"all"
48,"chr1",47000001,48000000,500,209,206.171299702178,0.197002996410615,0.0388101805947608,2.21083191143873e-06,0.862282661683582,0.943459813633226,"all"
49,"chr1",48000001,49000000,500,213,241.842161616302,-1.85464929207615,3.43972399659857,0.000195944761443555,0.0644562643815468,0.172706644842892,"all"
50,"chr1",49000001,50000000,500,250,276.566064990179,-1.59745188253092,2.55185251700158,0.000145366934433537,0.113458742171469,0.258985839017199,"all"
51,"chr1",50000001,51000000,500,229,276.809428442897,-2.87357881001286,8.25745517735491,0.000470388056267783,0.0034938812871513,0.0191861641832321,"all"
52,"chr1",51000001,52000000,500,212,188.905462778531,1.68030068934315,2.82341040660705,0.000160836299402784,0.104250651973947,0.244788385920807,"all"
53,"chr1",52000001,53000000,500,178,184.129236102412,-0.451694679757988,0.204028083721671,1.16225122225392e-05,0.685746452793194,0.835413811636227,"all"
54,"chr1",53000001,54000000,500,210,199.283600077009,0.759124717468371,0.576270336671434,3.28273878246455e-05,0.465778423580362,0.6610825447549,"all"
55,"chr1",54000001,55000000,500,171,195.232279003878,-1.7342769369403,3.00771649400304,0.00017133534303626,0.0849642107447737,0.212744447340844,"all"
56,"chr1",55000001,56000000,500,168,191.958759433927,-1.72926025394747,2.99034102588246,0.000170345545029436,0.0859342537883312,0.214237830966214,"all"
57,"chr1",56000001,57000000,500,248,229.625915992521,1.21253768968114,1.47024764889727,8.37530351595077e-05,0.23976237726078,0.429338675653934,"all"
58,"chr1",57000001,58000000,500,186,259.064612628442,-4.53944793335206,20.6065875396143,0.00117385955489692,2.16741109923904e-06,4.1704480681331e-05,"all"
59,"chr1",58000001,59000000,500,271,235.076907703571,2.34298079900559,5.48955902450888,0.000312714140597147,0.0234311732720643,0.0809363539409738,"all"
60,"chr1",59000001,60000000,500,202,192.350439600499,0.69576237132827,0.484085277356337,2.75760422300517e-05,0.505083515862824,0.696619353876471,"all"
61,"chr1",60000001,61000000,500,189,224.869538434638,-2.39199613744128,5.721645521534,0.00032593500754427,0.0158003651187613,0.0595264741070809,"all"
62,"chr1",61000001,62000000,500,189,210.452208776231,-1.47875174741982,2.18670673049718,0.000124566310866217,0.144948718400929,0.30489213180885,"all"
63,"chr1",62000001,63000000,500,185,175.151020939599,0.744191795170315,0.553821427998816,3.15485799729475e-05,0.475997392576288,0.67126636719932,"all"
64,"chr1",63000001,64000000,500,196,206.92789006055,-0.759673194622542,0.577103362628019,3.28748413623424e-05,0.471868597139607,0.666677360289057,"all"
65,"chr1",64000001,65000000,500,210,193.161352501946,1.21156602611744,1.46789223564201,8.36188584381022e-05,0.241433641334334,0.430734442878367,"all"
66,"chr1",65000001,66000000,500,203,174.983292956822,2.11796508483062,4.48577610056157,0.000255533388371542,0.041227507823896,0.123241152178349,"all"
67,"chr1",66000001,67000000,500,214,234.480525187202,-1.33748124284843,1.78885607497138,0.000101902646030244,0.189183060598374,0.365150897739317,"all"
68,"chr1",67000001,68000000,500,188,202.301914860966,-1.00552805348071,1.01108666633671,5.75968117878114e-05,0.332110510466905,0.537033747043778,"all"
69,"chr1",68000001,69000000,500,191,204.438550163787,-0.939876997026456,0.883368769539468,5.03213289744357e-05,0.366566686728428,0.568694096780521,"all"
70,"chr1",69000001,70000000,500,330,265.691730677377,3.94527974692727,15.5652322815145,0.000886677457037494,0.000155796292697927,0.0015296848327567,"all"
71,"chr1",70000001,71000000,500,253,232.072013633773,1.37377642231666,1.88726165851317,0.000107508345386028,0.182610148800287,0.356637123031624,"all"
72,"chr1",71000001,72000000,500,213,246.997616078121,-2.16322694802457,4.67955082865968,0.000266571815555967,0.0298806087652063,0.0978604875878198,"all"
73,"chr1",72000001,73000000,500,279,257.860157426355,1.31646593911793,1.73308256885766,9.87254939211999e-05,0.200904350485348,0.380947601085644,"all"
74,"chr1",73000001,74000000,500,320,273.074756248052,2.8396561812514,8.06364722771927,0.000459347736609934,0.00605518624747568,0.0290304665075464,"all"
75,"chr1",74000001,75000000,500,261,265.31333774679,-0.264809721381805,0.0701241885383092,3.99464242135396e-06,0.822433788044474,0.918549930005262,"all"
76,"chr1",75000001,76000000,500,239,270.695929926478,-1.92647170666323,3.71129323657393,0.000211414772989539,0.0543509181194787,0.151727441332566,"all"
77,"chr1",76000001,77000000,500,209,241.770102936302,-2.10754330873539,4.4417387981953,0.000253024792125067,0.0345706807240979,0.108203211393001,"all"
78,"chr1",77000001,78000000,500,187,222.855144268722,-2.40181826141453,5.76873096086433,0.000328617241696246,0.0153505889024659,0.0581897167656813,"all"
79,"chr1",78000001,79000000,500,193,194.668723687053,-0.119601421090232,0.014304499926803,8.14859514454778e-07,0.942693789108703,0.991817648944826,"all"
80,"chr1",79000001,80000000,500,215,226.768464645214,-0.781499090898878,0.610740829075772,3.4791008283057e-05,0.457204629481184,0.653116927116369,"all"
81,"chr1",80000001,81000000,500,223,207.240851958654,1.0946998304232,1.19836771872859,6.82653250668161e-05,0.289695717659976,0.488850866704622,"all"
82,"chr1",81000001,82000000,500,215,197.341860085634,1.25700019460893,1.5800494892469,9.00079252130837e-05,0.223975401663767,0.409526451894146,"all"
83,"chr1",82000001,83000000,500,203,192.144483229719,0.783134835534199,0.613300170627177,3.49368018322599e-05,0.451795548382411,0.648770758033189,"all"
84,"chr1",83000001,84000000,500,134,187.2749140239,-3.89298700778123,15.1553478427534,0.000863328284646954,5.12048369835129e-05,0.000622051981490387,"all"
85,"chr1",84000001,85000000,500,181,185.02128443455,-0.295633705600687,0.0873992878871934,4.97872289530422e-06,0.804596575112794,0.906396220372645,"all"
86,"chr1",85000001,86000000,500,174,166.169051253678,0.607490249059446,0.369044402702307,2.1022709240942e-05,0.563641846885491,0.744682569133965,"all"
87,"chr1",86000001,87000000,500,218,195.129411741673,1.63725365143135,2.68059951912529,0.000152701040496305,0.113203826956966,0.258816086033191,"all"
88,"chr1",87000001,88000000,500,144,185.718152581455,-3.06124360388585,9.37121240233205,0.000533833522813932,0.00171550972725889,0.0107827215646333,"all"
89,"chr1",88000001,89000000,500,188,227.707746454754,-2.63139677139868,6.92424896852741,0.000394441621960235,0.00764513940585156,0.0347914518675816,"all"
90,"chr1",89000001,90000000,500,186,191.415226768072,-0.391406836284652,0.15319931149036,8.72703814985731e-06,0.730321435515035,0.86665213394934,"all"
91,"chr1",90000001,91000000,500,182,197.58910540096,-1.1090208112314,1.22992715974435,7.00631167347644e-05,0.282130275024946,0.481182331050875,"all"
92,"chr1",91000001,92000000,492,208,224.684848792156,-1.11310307214638,1.23899844922172,7.05798650710802e-05,0.279318534762393,0.476670380454632,"all"
93,"chr1",92000001,93000000,500,205,196.444821522793,0.610391927987872,0.372578305752751,2.1224018936391e-05,0.560112592840695,0.74210768369064,"all"
94,"chr1",93000001,94000000,500,149,169.71094209719,-1.58980893083604,2.52749243656603,0.00014397925619121,0.116232332019691,0.263841544452868,"all"
95,"chr1",94000001,95000000,500,151,171.343720417444,-1.55416198706873,2.41541948204944,0.000137594991535458,0.125095241238799,0.277806395531864,"all"
96,"chr1",95000001,96000000,500,157,192.569049827319,-2.56317949461309,6.569889121605,0.00037425542221309,0.00937902945740003,0.0408037594148193,"all"
97,"chr1",96000001,97000000,500,239,201.88343038925,2.61226657331199,6.82393665004318,0.000388727304958441,0.0118716214280588,0.0486227694774921,"all"
98,"chr1",97000001,98000000,500,204,198.345680223456,0.40148469381147,0.16118995936489,9.18222745955266e-06,0.706764975932066,0.848887803098967,"all"
99,"chr1",98000001,99000000,500,251,214.699971370059,2.47737057130885,6.13736494758711,0.000349616571485441,0.0168137322718014,0.0622101545908707,"all"
100,"chr1",99000001,100000000,500,239,219.557177590187,1.31215605762245,1.72175351955529,9.8080131716229e-05,0.203459270661348,0.38409539270239,"all"
101,"chr1",100000001,101000000,500,189,171.975501560059,1.29819829265527,1.68531880705305,9.60046189551544e-05,0.210139990007496,0.39302936829407,"all"
102,"chr1",101000001,102000000,500,206,225.206623592912,-1.2798540454015,1.63802637753058,9.33105935536887e-05,0.210152138231077,0.39302936829407,"all"
103,"chr1",102000001,103000000,500,288,285.34992291036,0.156880739484986,0.0246115664213559,1.40200420613793e-06,0.891046403807899,0.960026320825722,"all"
104,"chr1",103000001,104000000,476,213,237.378748240213,-1.58230603582981,2.50369239102344,0.000142623480480485,0.117353766920743,0.264923818710055,"all"
105,"chr1",104000001,105000000,500,287,282.140541009001,0.289304490089281,0.0836970879858187,4.76782612649121e-06,0.788103350218359,0.898616610087011,"all"
106,"chr1",105000001,106000000,500,289,319.12657792721,-1.68642998505645,2.84404609449751,0.000162011816666645,0.0938039896434896,0.227718914739953,"all"
107,"chr1",106000001,107000000,500,316,309.950241236015,0.343630787998155,0.118082118460233,6.72657822410167e-06,0.746135682049595,0.876959014453517,"all"
108,"chr1",107000001,108000000,500,258,250.748574537078,0.45793532991418,0.209704766383609,1.19458859092316e-05,0.66359802938935,0.81935208882828,"all"
109,"chr1",108000001,109000000,500,169,208.978886427042,-2.76553709249089,7.64819540994295,0.000435681417043024,0.00491466202067798,0.0248506807994423,"all"
110,"chr1",109000001,110000000,500,180,208.639163789662,-1.98272469826178,3.93119722909728,0.000223941660436928,0.0473966102744192,0.136431808892329,"all"
111,"chr1",110000001,111000000,500,213,223.348562050393,-0.692450012869071,0.479487020322377,2.73141013364025e-05,0.513958736935071,0.7036865801303,"all"
112,"chr1",111000001,112000000,500,225,238.422720447867,-0.869294087529972,0.755672210614567,4.30470616784417e-05,0.404422182200952,0.60358063319632,"all"
113,"chr1",112000001,113000000,500,236,229.473472000322,0.430839945406414,0.185623058557802,1.05740652341578e-05,0.683956047689122,0.833929853841775,"all"
114,"chr1",113000001,114000000,500,208,217.994341007358,-0.676910972049613,0.458208464081152,2.61019629117286e-05,0.524501027821631,0.714028702167434,"all"
115,"chr1",114000001,115000000,500,236,256.560695804519,-1.28363853255021,1.64772788224766,9.38632422630943e-05,0.208121036459342,0.39072367111293,"all"
116,"chr1",115000001,116000000,500,224,300.215540662572,-4.39872640151634,19.3487939553969,0.00110220902013063,4.97133143657184e-06,8.63806498706149e-05,"all"
117,"chr1",116000001,117000000,500,263,281.162849113218,-1.08319091128181,1.17330255028351,6.68374813048257e-05,0.291585924659215,0.490884818554298,"all"
118,"chr1",117000001,118000000,500,210,238.710631814234,-1.85826166912752,3.45313643094859,0.000196708804213175,0.0639193452852207,0.171428216026874,"all"
119,"chr1",118000001,119000000,500,221,260.801580162293,-2.46459296870644,6.07421850139723,0.00034601941795018,0.0128339881288208,0.0514444722999381,"all"
120,"chr1",119000001,120000000,500,257,301.567274577405,-2.56639778015539,6.58639756598649,0.000375195829989799,0.00949619197634792,0.0410023831267914,"all"
121,"chr1",120000001,120928000,282,159,152.344876565019,0.5391904460096,0.290726337068031,1.65613005050655e-05,0.61089095051715,0.779015110526096,"all"
122,"chr1",121148001,121342000,97,47,59.4601707910777,-1.61588674717106,2.61108997968307,0.000148741411718669,0.112855073953993,0.258224658440622,"all"
123,"chr1",145396001,146000000,278,104,139.194959189126,-2.98310618088239,8.8989224864187,0.000506929406379779,0.00219232358822711,0.0132883546034823,"all"
124,"chr1",146000001,147000000,452,156,263.198899693563,-6.60766920413045,43.661292311214,0.00248717673705741,1.1765610855203e-12,1.29738485853334e-10,"all"
125,"chr1",147000001,147832000,264,175,171.883716559198,0.237694747051362,0.0564987927758112,3.21846825014232e-06,0.832307373962505,0.923104542031142,"all"
126,"chr1",149058001,150000000,447,198,237.270684544917,-2.54944959569903,6.49969324100994,0.000370256695835299,0.00989346682520668,0.0424619302213586,"all"
127,"chr1",150000001,151000000,500,312,280.449324984017,1.88400241754721,3.54946510932374,0.000202196192132397,0.067070705444218,0.178212893891171,"all"
128,"chr1",151000001,152000000,500,296,283.62306058219,0.734924110772729,0.540113448595087,3.07677014033899e-05,0.477561972532339,0.672480439710323,"all"
129,"chr1",152000001,153000000,498,360,357.916198796894,0.110145207959981,0.0121319668365475,6.9110060864742e-07,0.926331999396634,0.981953650569048,"all"
130,"chr1",153000001,154000000,500,404,302.238854176147,5.85338164537127,34.2620766863693,0.00195174800347648,2.90701512413578e-08,1.00414606757798e-06,"all"
131,"chr1",154000001,155000000,500,355,300.373927982385,3.15187406027198,9.93431009181538,0.000565910527406258,0.00232684050225773,0.0139854333752053,"all"
132,"chr1",155000001,156000000,500,333,278.27475572329,3.28058129026334,10.7622136020259,0.00061307226362896,0.0015643067963624,0.00992227341851989,"all"
133,"chr1",156000001,157000000,500,261,308.202038146747,-2.68870403129081,7.22912936787944,0.000411809212260772,0.00648316000328638,0.0306214493071204,"all"
134,"chr1",157000001,158000000,500,369,393.638209673787,-1.24182535506919,1.54213021249273,8.78478438678783e-05,0.222125500629314,0.407188073900949,"all"
135,"chr1",158000001,159000000,500,476,439.857620756343,1.72329916780816,2.96976002176831,0.000169173142840945,0.0919704292483193,0.224790469441544,"all"
136,"chr1",159000001,160000000,500,355,383.321883169274,-1.4465728853963,2.09257311276377,0.000119203965140563,0.152675521528004,0.314906992964596,"all"
137,"chr1",160000001,161000000,500,313,334.607178098607,-1.18121900262237,1.39527833215619,7.94823887649298e-05,0.24721785753995,0.437244662286883,"all"
138,"chr1",161000001,162000000,476,260,297.851222793877,-2.19321001503175,4.81017017003559,0.000274012579905411,0.0276555392559697,0.0926266717837209,"all"
139,"chr1",162000001,163000000,500,296,343.823420955455,-2.57912808545448,6.65190168118011,0.000378927288745757,0.00918379687477132,0.0400760207609884,"all"
140,"chr1",163000001,164000000,500,352,432.245840797858,-3.85973173150543,14.8975290391899,0.000848641570244903,7.63896900581186e-05,0.000869084291256452,"all"
141,"chr1",164000001,165000000,500,338,382.824478957871,-2.29094888768802,5.24844680599897,0.000298979121106115,0.021297409800344,0.0751857313075426,"all"
142,"chr1",165000001,166000000,500,305,398.373739993071,-4.67820666090703,21.8856175621549,0.00124671982882985,1.26312100192203e-06,2.53242511364367e-05,"all"
143,"chr1",166000001,167000000,500,404,422.145976994117,-0.883179598978634,0.780006204052061,4.44332538682203e-05,0.391576170477482,0.592739641372197,"all"
144,"chr1",167000001,168000000,500,286,336.614327825067,-2.75871715074671,7.61052031782405,0.00043353524573832,0.00519803214132927,0.0259178402594626,"all"
145,"chr1",168000001,169000000,498,318,337.526108067112,-1.06282559054485,1.12959823591702,6.43478538053328e-05,0.300009614980712,0.500623653262802,"all"
146,"chr1",169000001,170000000,500,267,325.084457842197,-3.22152745383485,10.3782391358116,0.000591199059483172,0.00101523420393093,0.00701402218295859,"all"
147,"chr1",170000001,171000000,500,364,405.529523899501,-2.06227089902315,4.25296126095774,0.000242271031202245,0.0389316894680036,0.118868108311785,"all"
148,"chr1",171000001,172000000,500,367,353.304886411273,0.728602767769621,0.530861993201552,3.02406898693586e-05,0.479868331884699,0.67407276213299,"all"
149,"chr1",172000001,173000000,500,320,347.233371019464,-1.46147258985953,2.13590213091074,0.000121672213794462,0.148570382155009,0.309010639356691,"all"
150,"chr1",173000001,174000000,500,322,352.252352291848,-1.61187811282954,2.59815105061893,0.000148004342299345,0.10973973859542,0.252304595471587,"all"
151,"chr1",174000001,175000000,500,290,350.37388746819,-3.22539772319398,10.4031904727849,0.000592620418806118,0.0010098037034203,0.00700994483706054,"all"
152,"chr1",175000001,176000000,500,330,427.975029637827,-4.73593996235409,22.4291273270224,0.00127768100226252,9.50056318101533e-07,1.96919812390601e-05,"all"
153,"chr1",176000001,177000000,500,351,410.15315983912,-2.92082083459457,8.53119434780169,0.000485981678460724,0.00306455316264273,0.0173637824452504,"all"
154,"chr1",177000001,178000000,500,310,352.420883407946,-2.25969014019398,5.10619952968988,0.00029087596845493,0.0231706050771271,0.0803266321113946,"all"
155,"chr1",178000001,179000000,500,281,326.038649126954,-2.49431221449825,6.22159342339519,0.000354414668255788,0.0118431521741737,0.048575561206518,"all"
156,"chr1",179000001,180000000,500,291,341.450981991998,-2.73026901761632,7.45436890855558,0.000424640040579871,0.00570560718546063,0.027914634472211,"all"
157,"chr1",180000001,181000000,500,268,327.617972575133,-3.29377056186669,10.8489245142196,0.000618011773025979,0.000770777028426915,0.00560867446827403,"all"
158,"chr1",181000001,182000000,500,369,391.682049361362,-1.14608138067161,1.31350253112214,7.4824009243399e-05,0.261374380601992,0.454708949748732,"all"
159,"chr1",182000001,183000000,500,293,348.682665401356,-2.98198076122778,8.89220926033261,0.000506546985730548,0.00244868560669664,0.0145049207322299,"all"
160,"chr1",183000001,184000000,500,279,345.170779517276,-3.56163359515117,12.6852338661094,0.000722617607170938,0.000264834806164819,0.00235375762841475,"all"
161,"chr1",184000001,185000000,500,301,347.561317473885,-2.49752326792266,6.23762247381506,0.000355327767232275,0.0117562474326947,0.0482881968331456,"all"
162,"chr1",185000001,186000000,500,349,331.606210302196,0.955174868298711,0.912359029029459,5.19727665565121e-05,0.352846327488861,0.557054196536654,"all"
163,"chr1",186000001,187000000,500,379,344.89207061299,1.8365964916599,3.37308667317744,0.000192148749189693,0.073413296594539,0.190475946910899,"all"
164,"chr1",187000001,188000000,500,434,397.234535503172,1.84466096516852,3.40277407641646,0.000193839899744592,0.0716819479588642,0.187412900596077,"all"
165,"chr1",188000001,189000000,500,398,363.394456679267,1.81533392210105,3.29543724873077,0.000187725429770903,0.0765982171296076,0.196537976010728,"all"
166,"chr1",189000001,190000000,500,417,387.839372364632,1.48071310313545,2.192511293797,0.000124896969306311,0.148094594757498,0.308790693214361,"all"
167,"chr1",190000001,191000000,500,398,387.571531976937,0.529717814997919,0.28060096352617,1.59845059991258e-05,0.609615595141725,0.778110837990947,"all"
168,"chr1",191000001,192000000,500,403,369.877333505164,1.72225094912123,2.96614833174899,0.000168967401990824,0.0928137855031428,0.226320769639281,"all"
169,"chr1",192000001,193000000,500,384,396.10421585564,-0.60817971047496,0.369882560233406,2.10704551000997e-05,0.563587543630538,0.744682569133965,"all"
170,"chr1",193000001,194000000,500,401,414.787374224501,-0.676969027514652,0.458287064214133,2.61064403885034e-05,0.517166630964411,0.705843714708912,"all"
171,"chr1",194000001,195000000,500,447,463.720660007088,-0.776470916608587,0.602907084338979,3.43447570009255e-05,0.453302208402239,0.650102117958549,"all"
172,"chr1",195000001,196000000,500,450,468.440684281565,-0.852019881794862,0.72593787897373,4.13532378350727e-05,0.408496128372609,0.607762532456808,"all"
173,"chr1",196000001,197000000,500,405,453.011970152947,-2.25576933514461,5.08849529337877,0.000289867442083643,0.02350454120004,0.0809395006416524,"all"
174,"chr1",197000001,198000000,500,301,405.616336230725,-5.194476520588,26.98258632294,0.0015370699641619,6.30884665995595e-08,1.9039435130625e-06,"all"
175,"chr1",198000001,199000000,500,335,414.306354802427,-3.89625337316198,15.1807903478761,0.000864777623489756,6.41910899258093e-05,0.000745084432458686,"all"
176,"chr1",199000001,200000000,500,399,443.296469729188,-2.10388491405796,4.42633173160068,0.000252147124617031,0.0350459793442784,0.109332777780246,"all"
177,"chr1",200000001,201000000,500,286,365.019222210446,-4.13594621948724,17.1060511304908,0.00097445059874565,2.01631721736697e-05,0.000275275307723385,"all"
178,"chr1",201000001,202000000,500,273,344.35073656595,-3.84501424073274,14.7841345114376,0.000842182021830146,7.73802922718107e-05,0.000873422432847565,"all"
179,"chr1",202000001,203000000,500,267,331.113563902743,-3.52339580514672,12.4143179997255,0.000707184815219498,0.000308066320191638,0.00268378038076831,"all"
180,"chr1",203000001,204000000,500,312,345.115391168804,-1.78257464707238,3.17757237238522,0.000181011226799693,0.075841700795139,0.195129362118064,"all"
181,"chr1",204000001,205000000,500,301,352.02172256882,-2.71938304256691,7.39504413220046,0.000421260589448882,0.00591930525338357,0.0286666354078559,"all"
182,"chr1",205000001,205924000,462,281,325.744814580652,-2.4791565808724,6.14621735248295,0.000350120851005318,0.0123882673947693,0.0500947286612178,"all"
183,"chr1",206072001,207000000,390,206,256.486756188664,-3.1524266866199,9.93779401451333,0.000566108989958083,0.00127720514695454,0.00839850265210701,"all"
184,"chr1",207000001,208000000,500,301,387.567945357394,-4.39727052372161,19.3359880587909,0.00110147952893948,5.57263257328334e-06,9.56690873509182e-05,"all"
185,"chr1",208000001,209000000,500,332,431.103376103807,-4.77306927502449,22.7821903041828,0.00129779332549039,7.75371764977212e-07,1.64665988902938e-05,"all"
186,"chr1",209000001,210000000,500,349,430.847244906602,-3.94314188953732,15.5483679610239,0.000885716776686776,5.23397215793127e-05,0.00062524159069954,"all"
187,"chr1",210000001,211000000,500,336,383.449528254113,-2.42313602920402,5.87158821602664,0.000334476531669932,0.0146665083118243,0.0562903337751008,"all"
188,"chr1",211000001,212000000,500,359,356.688571369928,0.122387169587128,0.0149786192795485,8.53260896626373e-07,0.916651912932095,0.976241097465199,"all"
189,"chr1",212000001,213000000,500,274,339.694268769376,-3.56437487034772,12.7047682163663,0.000723730386453468,0.000261046000520155,0.00233152300153048,"all"
